t,W
2024-03-10 18:30:00,0.0
2024-03-10 19:14:00,510.2
2024-03-10 19:15:00,1050.7
2024-03-10 19:16:00,770.1
2024-03-10 19:17:00,842.8
2024-03-10 19:21:00,926.8
2024-03-10 19:22:00,486.8
2024-03-10 19:23:00,488.7
2024-03-10 19:24:00,466.4
2024-03-10 19:25:00,402.8
2024-03-10 19:26:00,392.3
2024-03-10 19:27:00,426.3
2024-03-10 19:28:00,422.1
2024-03-10 19:29:00,565.0
2024-03-10 19:30:00,944.9
2024-03-10 19:31:00,412.5
2024-03-10 19:32:00,410.9
2024-03-10 19:33:00,422.3
2024-03-10 19:34:00,402.9
2024-03-10 19:35:00,403.3
2024-03-10 19:36:00,400.4
2024-03-10 19:37:00,399.7
2024-03-10 19:38:00,400.2
2024-03-10 19:39:00,398.5
2024-03-10 19:40:00,397.4
2024-03-10 19:41:00,400.4
2024-03-10 19:42:00,397.9
2024-03-10 19:43:00,398.5
2024-03-10 19:44:00,1018.2
2024-03-10 19:45:00,398.7
2024-03-10 19:46:00,403.5
2024-03-10 19:47:00,402.9
2024-03-10 19:48:00,412.0
2024-03-10 19:49:00,401.7
2024-03-10 19:50:00,399.4
2024-03-10 19:51:00,397.6
2024-03-10 19:52:00,418.9
2024-03-10 19:53:00,417.3
2024-03-10 19:54:00,411.8
2024-03-10 19:55:00,341.7
2024-03-10 19:56:00,337.4
2024-03-10 19:57:00,404.0
2024-03-10 19:58:00,827.7
2024-03-10 19:59:00,364.8
2024-03-10 20:00:00,381.5
2024-03-10 20:01:00,381.5
2024-03-10 20:02:00,415.7
2024-03-10 20:03:00,1620.5
2024-03-10 20:04:00,2420.6
2024-03-10 20:05:00,2369.0
2024-03-10 20:06:00,3799.1
2024-03-10 20:07:00,3338.3
2024-03-10 20:08:00,480.6
2024-03-10 20:09:00,574.0
2024-03-10 20:10:00,516.7
2024-03-10 20:11:00,880.9
2024-03-10 20:12:00,694.8
2024-03-10 20:13:00,501.2
2024-03-10 20:14:00,479.5
2024-03-10 20:15:00,493.8
2024-03-10 20:16:00,1337.9
2024-03-10 20:17:00,1154.2
2024-03-10 20:18:00,442.2
2024-03-10 20:19:00,443.6
2024-03-10 20:20:00,439.2
2024-03-10 20:21:00,381.4
2024-03-10 20:22:00,905.6
2024-03-10 20:23:00,376.8
2024-03-10 20:24:00,895.0
2024-03-10 20:25:00,1146.9
2024-03-10 20:26:00,387.0
2024-03-10 20:27:00,373.3
2024-03-10 20:28:00,398.9
2024-03-10 20:29:00,372.1
2024-03-10 20:30:00,374.0
2024-03-10 20:31:00,370.7
2024-03-10 20:32:00,446.2
2024-03-10 20:33:00,373.5
2024-03-10 20:34:00,375.9
2024-03-10 20:35:00,373.0
2024-03-10 20:36:00,513.7
2024-03-10 20:37:00,861.3
2024-03-10 20:38:00,399.5
2024-03-10 20:39:00,386.5
2024-03-10 20:40:00,403.6
2024-03-10 20:41:00,397.3
2024-03-10 20:42:00,416.3
2024-03-10 20:43:00,456.5
2024-03-10 20:44:00,463.2
2024-03-10 20:45:00,500.5
2024-03-10 20:46:00,570.5
2024-03-10 20:47:00,407.7
2024-03-10 20:48:00,1847.7
2024-03-10 20:49:00,3372.3
2024-03-10 20:50:00,2892.8
2024-03-10 20:51:00,2890.3
2024-03-10 20:52:00,2887.8
2024-03-10 20:53:00,2889.2
2024-03-10 20:54:00,2890.5
2024-03-10 20:55:00,2695.2
2024-03-10 20:56:00,2682.1
2024-03-10 20:57:00,2508.4
2024-03-10 20:58:00,1201.2
2024-03-10 20:59:00,2401.7
2024-03-10 21:00:00,2923.5
2024-03-10 21:01:00,2068.7
2024-03-10 21:02:00,882.6
2024-03-10 21:03:00,2470.8
2024-03-10 21:04:00,1884.8
2024-03-10 21:05:00,1094.9
2024-03-10 21:06:00,2534.7
2024-03-10 21:07:00,1366.8
2024-03-10 21:08:00,1459.2
2024-03-10 21:09:00,2648.6
2024-03-10 21:10:00,578.4
2024-03-10 21:11:00,2907.5
2024-03-10 21:12:00,1700.7
2024-03-10 21:13:00,503.7
2024-03-10 21:14:00,485.3
2024-03-10 21:15:00,518.7
2024-03-10 21:16:00,542.3
2024-03-10 21:17:00,543.3
2024-03-10 21:18:00,630.5
2024-03-10 21:19:00,603.0
2024-03-10 21:20:00,669.9
2024-03-10 21:21:00,663.2
2024-03-10 21:22:00,1097.7
2024-03-10 21:23:00,632.4
2024-03-10 21:24:00,579.1
2024-03-10 21:25:00,616.4
2024-03-10 21:26:00,604.7
2024-03-10 21:27:00,609.4
2024-03-10 21:28:00,621.6
2024-03-10 21:29:00,591.0
2024-03-10 21:30:00,736.6
2024-03-10 21:31:00,770.9
2024-03-10 21:32:00,799.1
2024-03-10 21:33:00,915.6
2024-03-10 21:34:00,528.8
2024-03-10 21:35:00,524.9
2024-03-10 21:36:00,526.9
2024-03-10 21:37:00,476.7
2024-03-10 21:38:00,474.9
2024-03-10 21:39:00,464.7
2024-03-10 21:40:00,477.5
2024-03-10 21:41:00,479.9
2024-03-10 21:42:00,595.7
2024-03-10 21:43:00,973.4
2024-03-10 21:44:00,457.7
2024-03-10 21:45:00,421.3
2024-03-10 21:46:00,372.8
2024-03-10 21:47:00,369.2
2024-03-10 21:48:00,354.0
2024-03-10 21:49:00,353.9
2024-03-10 21:50:00,324.4
2024-03-10 21:51:00,310.7
2024-03-10 21:52:00,397.5
2024-03-10 21:53:00,839.4
2024-03-10 21:54:00,352.3
