t,consumo,produzione,cons_autoprodotto,consumo_da_rete,prod_autoconsumata,prod_immessa
2026-09-01,35.4,50.2,11.9,23.5,11.9,38.3
2026-09-02,14.5,44.2,6.9,7.7,6.9,37.4
2026-09-03,24.1,48.0,18.8,5.3,18.8,29.2
2026-09-04,20.2,48.7,13.9,6.3,13.9,34.9
2026-09-05,13.3,49.0,9.7,3.6,9.7,39.3
2026-09-06,14.9,46.4,11.4,3.5,11.4,35.0
2026-09-07,15.7,45.9,5.9,9.8,5.9,40.1
2026-09-08,29.6,41.8,8.5,21.1,8.5,33.4
2026-09-09,9.7,24.1,4.4,5.4,4.4,19.7
2026-09-10,11.3,36.0,6.9,4.3,6.9,29.1
2026-09-11,7.0,39.5,3.8,3.1,3.8,35.6
