t,consumo,produzione,cons_autoprodotto,consumo_da_rete,prod_autoconsumata,prod_immessa
2026-05-01,5.5,38.8,3.2,2.3,3.2,35.6
2026-05-02,5.5,53.4,3.1,2.4,3.1,50.3
2026-05-03,12.6,35.4,7.6,5.0,7.6,27.8
2026-05-04,13.5,17.7,4.1,9.4,4.1,13.6
2026-05-05,26.2,13.5,4.6,21.5,4.6,8.9
2026-05-06,18.8,43.7,5.9,13.0,5.9,37.9
2026-05-07,15.7,52.5,6.7,8.9,6.7,45.8
2026-05-08,16.2,29.6,4.1,12.2,4.1,25.5
2026-05-09,23.9,51.5,19.9,4.1,19.9,31.7
2026-05-10,22.3,6.9,4.5,17.8,4.5,2.4
2026-05-11,11.6,48.7,2.6,8.9,2.6,46.0
2026-05-12,19.4,55.3,4.7,14.7,4.7,50.6
2026-05-13,17.1,40.1,6.8,10.3,6.8,33.3
2026-05-14,15.7,48.9,9.0,6.8,9.0,39.9
2026-05-15,21.4,26.1,4.1,17.3,4.1,22.1
2026-05-16,24.8,53.9,23.4,1.4,23.4,30.5
2026-05-17,17.2,56.1,9.0,8.3,9.0,47.1
2026-05-18,13.5,45.1,4.6,8.9,4.6,40.5
2026-05-19,20.0,51.8,6.8,13.2,6.8,45.0
2026-05-20,18.1,51.1,11.2,7.0,11.2,39.9
