t,consumo,produzione,cons_autoprodotto,consumo_da_rete,prod_autoconsumata,prod_immessa
2026-04-01,12.9,39.4,8.5,4.4,8.5,30.9
2026-04-02,10.8,51.6,7.2,3.6,7.2,44.4
2026-04-03,11.8,51.8,8.0,3.8,8.0,43.8
2026-04-04,14.5,51.2,11.1,3.4,11.1,40.1
2026-04-05,16.0,49.5,9.7,6.3,9.7,39.9
2026-04-06,8.4,49.1,3.2,5.2,3.2,45.9
2026-04-07,7.2,50.8,2.9,4.3,2.9,47.8
2026-04-08,7.6,50.9,4.9,2.6,4.9,45.9
2026-04-09,7.4,50.1,4.7,2.7,4.7,45.4
2026-04-10,7.6,41.1,3.5,4.1,3.5,37.6
2026-04-11,7.6,33.9,5.8,1.8,5.8,28.1
2026-04-12,8.3,9.6,2.1,6.2,2.1,7.5
2026-04-13,10.6,4.1,1.9,8.7,1.9,2.3
2026-04-14,11.5,38.0,5.3,6.2,5.3,32.7
2026-04-15,9.1,43.1,5.0,4.1,5.0,38.1
2026-04-16,8.9,51.9,5.5,3.4,5.5,46.4
2026-04-17,13.9,46.6,10.5,3.4,10.5,36.1
2026-04-18,9.0,48.9,5.4,3.6,5.4,43.6
2026-04-19,11.5,51.0,7.8,3.7,7.8,43.2
