t,T0,T1
2024-04-01 00:00:03,20.0,16.812
2024-04-01 00:01:03,19.875,16.812
2024-04-01 00:02:03,19.875,16.875
2024-04-01 00:03:03,19.875,23.562
2024-04-01 00:04:03,19.875,25.312
2024-04-01 00:05:03,19.812,28.187
2024-04-01 00:06:03,19.75,31.687
2024-04-01 00:07:03,19.75,35.125
2024-04-01 00:08:02,19.75,36.437
2024-04-01 00:09:02,19.75,36.687
2024-04-01 00:10:03,19.687,36.812
2024-04-01 00:11:03,19.75,37.0
2024-04-01 00:12:03,19.625,37.062
2024-04-01 00:13:03,19.687,36.937
2024-04-01 00:14:03,19.625,36.812
2024-04-01 00:15:03,19.625,36.875
2024-04-01 00:16:03,19.562,36.812
2024-04-01 00:17:03,19.562,36.812
2024-04-01 00:18:02,19.5,36.812
2024-04-01 00:19:03,19.562,36.812
2024-04-01 00:20:03,19.5,36.875
2024-04-01 00:21:03,19.5,36.812
2024-04-01 00:22:03,19.5,36.812
2024-04-01 00:23:03,19.437,36.812
2024-04-01 00:24:03,19.437,36.812
2024-04-01 00:25:03,19.437,36.75
2024-04-01 00:26:03,19.437,36.75
2024-04-01 00:27:03,19.437,36.75
2024-04-01 00:28:02,19.437,36.812
2024-04-01 00:29:03,19.375,36.812
2024-04-01 00:30:03,19.375,36.875
2024-04-01 00:31:03,19.375,36.937
2024-04-01 00:32:03,19.312,36.875
2024-04-01 00:33:03,19.312,36.625
2024-04-01 00:34:03,19.312,36.25
2024-04-01 00:35:03,19.375,35.937
2024-04-01 00:36:03,19.312,35.562
2024-04-01 00:37:03,19.25,35.187
2024-04-01 00:38:02,19.25,34.812
2024-04-01 00:39:02,19.25,34.562
2024-04-01 00:40:03,19.312,34.312
2024-04-01 00:41:03,19.25,34.0
2024-04-01 00:42:03,19.25,33.75
2024-04-01 00:43:03,19.25,33.437
2024-04-01 00:44:03,19.25,33.187
2024-04-01 00:45:03,19.25,32.937
2024-04-01 00:46:03,19.187,32.687
2024-04-01 00:47:03,19.187,32.5
2024-04-01 00:48:03,19.187,32.312
2024-04-01 00:49:02,19.25,32.062
2024-04-01 00:50:02,19.25,31.812
2024-04-01 00:51:03,19.25,31.625
2024-04-01 00:52:03,19.25,31.437
2024-04-01 00:53:03,19.25,31.187
2024-04-01 00:54:03,19.25,31.062
2024-04-01 00:55:03,19.187,30.875
2024-04-01 00:56:03,19.187,30.625
2024-04-01 00:57:03,19.187,30.437
2024-04-01 00:58:03,19.187,30.312
2024-04-01 00:59:02,19.187,30.187
2024-04-01 01:00:03,19.25,30.062
2024-04-01 01:01:03,19.187,29.812
2024-04-01 01:02:03,19.25,29.687
2024-04-01 01:03:03,19.187,29.562
2024-04-01 01:04:03,19.187,29.437
2024-04-01 01:05:03,19.25,29.312
2024-04-01 01:06:03,19.187,29.187
2024-04-01 01:07:03,19.187,29.0
2024-04-01 01:08:03,19.25,28.875
2024-04-01 01:09:02,19.25,28.75
2024-04-01 01:10:02,19.25,28.625
2024-04-01 01:11:03,19.25,28.5
2024-04-01 01:12:03,19.25,28.375
2024-04-01 01:13:03,19.25,28.25
2024-04-01 01:14:03,19.25,28.125
2024-04-01 01:15:03,19.187,28.0
2024-04-01 01:16:03,19.25,27.875
2024-04-01 01:17:03,19.25,27.75
2024-04-01 01:18:03,19.187,27.625
2024-04-01 01:19:03,19.25,27.5
2024-04-01 01:20:02,19.187,27.375
2024-04-01 01:21:03,19.187,27.312
2024-04-01 01:22:03,19.25,27.25
2024-04-01 01:23:03,19.187,27.187
2024-04-01 01:24:03,19.187,27.062
2024-04-01 01:25:03,19.187,27.0
2024-04-01 01:26:03,19.25,26.875
2024-04-01 01:27:03,19.25,26.75
2024-04-01 01:28:03,19.187,26.625
2024-04-01 01:29:02,19.187,26.562
2024-04-01 01:30:03,19.187,26.437
2024-04-01 01:31:03,19.25,26.312
2024-04-01 01:32:03,19.25,26.25
2024-04-01 01:33:03,19.187,26.187
2024-04-01 01:34:03,19.187,26.062
2024-04-01 01:35:03,19.25,26.0
2024-04-01 01:36:03,19.187,25.875
2024-04-01 01:37:03,19.187,25.812
2024-04-01 01:38:02,19.125,25.75
