t,T0,T1
2024-12-01 00:00:03,17.625,19.812
2024-12-01 00:01:03,17.625,19.75
2024-12-01 00:02:03,17.625,19.75
2024-12-01 00:03:03,17.562,19.687
2024-12-01 00:04:03,17.625,19.625
2024-12-01 00:05:02,17.625,19.562
2024-12-01 00:06:03,17.562,19.562
2024-12-01 00:07:03,17.562,21.875
2024-12-01 00:08:03,17.5,24.187
2024-12-01 00:09:03,17.5,26.0
2024-12-01 00:10:03,17.5,28.5
2024-12-01 00:11:03,17.5,32.375
2024-12-01 00:12:03,17.562,34.875
2024-12-01 00:13:03,17.5,35.562
2024-12-01 00:14:03,17.562,35.937
2024-12-01 00:15:02,17.5,36.25
2024-12-01 00:16:03,17.5,36.25
2024-12-01 00:17:03,17.5,36.187
2024-12-01 00:18:03,17.562,36.25
2024-12-01 00:19:03,17.562,36.5
2024-12-01 00:20:03,17.5,36.562
2024-12-01 00:21:03,17.437,36.687
2024-12-01 00:22:03,17.5,36.812
2024-12-01 00:23:03,17.5,36.937
2024-12-01 00:24:03,17.437,37.0
2024-12-01 00:25:02,17.5,37.187
2024-12-01 00:26:02,17.5,37.25
2024-12-01 00:27:03,17.437,37.375
2024-12-01 00:28:03,17.5,37.5
2024-12-01 00:29:03,17.437,37.625
2024-12-01 00:30:03,17.437,37.562
2024-12-01 00:31:03,17.375,37.687
2024-12-01 00:32:03,17.437,37.812
2024-12-01 00:33:03,17.437,37.875
2024-12-01 00:34:03,17.375,38.0
2024-12-01 00:35:02,17.437,38.062
2024-12-01 00:36:03,17.437,38.125
2024-12-01 00:37:03,17.437,37.937
2024-12-01 00:38:03,17.437,37.562
2024-12-01 00:39:03,17.375,37.187
2024-12-01 00:40:03,17.375,36.812
2024-12-01 00:41:03,17.375,36.375
2024-12-01 00:42:03,17.375,36.0
2024-12-01 00:43:03,17.375,35.687
2024-12-01 00:44:02,17.375,35.25
2024-12-01 00:45:03,17.375,35.0
2024-12-01 00:46:03,17.375,34.625
2024-12-01 00:47:03,17.437,34.312
2024-12-01 00:48:03,17.437,34.0
2024-12-01 00:49:03,17.375,33.75
2024-12-01 00:50:03,17.375,33.5
2024-12-01 00:51:03,17.375,33.187
2024-12-01 00:52:03,17.437,32.937
2024-12-01 00:53:02,17.437,32.687
2024-12-01 00:54:03,17.437,32.437
2024-12-01 00:55:03,17.437,32.187
2024-12-01 00:56:03,17.437,31.937
2024-12-01 00:57:03,17.5,31.687
2024-12-01 00:58:03,17.5,31.5
2024-12-01 00:59:03,17.437,31.312
2024-12-01 01:00:03,17.5,31.062
2024-12-01 01:01:03,17.5,30.875
2024-12-01 01:02:02,17.5,30.687
2024-12-01 01:03:03,17.562,30.562
2024-12-01 01:04:03,17.562,30.375
2024-12-01 01:05:03,17.5,30.25
2024-12-01 01:06:03,17.562,30.062
2024-12-01 01:07:03,17.562,29.875
2024-12-01 01:08:03,17.562,29.687
2024-12-01 01:09:03,17.562,29.562
2024-12-01 01:10:03,17.562,29.437
2024-12-01 01:11:02,17.625,29.25
2024-12-01 01:12:03,17.562,29.125
2024-12-01 01:13:03,17.625,28.937
2024-12-01 01:14:03,17.625,28.75
2024-12-01 01:15:03,17.625,28.687
2024-12-01 01:16:03,17.625,28.5
2024-12-01 01:17:03,17.687,28.375
2024-12-01 01:18:03,17.625,28.25
2024-12-01 01:19:03,17.687,28.125
2024-12-01 01:20:03,17.687,27.937
2024-12-01 01:21:03,17.75,27.812
2024-12-01 01:22:02,17.687,27.687
2024-12-01 01:23:03,17.687,27.562
2024-12-01 01:24:03,17.687,27.437
2024-12-01 01:25:03,17.687,27.312
2024-12-01 01:26:03,17.75,27.187
2024-12-01 01:27:03,17.75,27.062
2024-12-01 01:28:03,17.75,26.937
2024-12-01 01:29:03,17.75,26.75
2024-12-01 01:30:03,17.75,26.625
2024-12-01 01:31:02,17.75,26.5
2024-12-01 01:32:02,17.75,26.5
2024-12-01 01:33:03,17.75,26.375
2024-12-01 01:34:03,17.75,26.25
2024-12-01 01:35:03,17.75,26.125
2024-12-01 01:36:03,17.75,26.0
2024-12-01 01:37:03,17.75,25.937
2024-12-01 01:38:03,17.75,25.812
2024-12-01 01:39:03,17.75,25.75
2024-12-01 01:40:03,17.75,25.625
2024-12-01 01:41:03,17.75,25.5
2024-12-01 01:42:02,17.75,25.375
2024-12-01 01:43:03,17.812,25.312
2024-12-01 01:44:03,17.75,25.25
2024-12-01 01:45:03,17.812,25.125
2024-12-01 01:46:03,17.812,25.062
2024-12-01 01:47:03,17.75,24.937
2024-12-01 01:48:03,17.75,24.875
2024-12-01 01:49:03,17.75,24.687
2024-12-01 01:50:03,17.75,24.625
2024-12-01 01:51:03,17.75,24.562
2024-12-01 01:52:02,17.812,24.437
2024-12-01 01:53:03,17.75,24.375
2024-12-01 01:54:03,17.875,24.312
2024-12-01 01:55:03,17.75,24.25
2024-12-01 01:56:03,17.75,24.125
2024-12-01 01:57:03,17.75,24.0
2024-12-01 01:58:03,17.812,23.937
2024-12-01 01:59:03,17.75,23.875
2024-12-01 02:00:03,17.75,23.75
2024-12-01 02:01:02,17.75,23.687
2024-12-01 02:02:02,17.75,23.625
