t,T0,T1,P0,P1
2026-01-11 19:32:02,23.6,13.9,15,15
2026-01-11 19:33:03,23.5,13.9,15,15
2026-01-11 19:34:03,23.3,14.4,15,40
2026-01-11 19:35:03,23.2,23.6,15,40
2026-01-11 19:36:02,23.0,25.7,15,40
2026-01-11 19:37:03,22.9,28.3,15,40
2026-01-11 19:38:03,22.8,29.9,15,40
2026-01-11 19:39:03,22.7,30.2,15,40
2026-01-11 19:40:03,22.5,30.4,15,40
2026-01-11 19:41:02,22.4,30.9,15,40
2026-01-11 19:42:03,22.2,31.6,15,40
2026-01-11 19:43:03,22.2,32.4,15,40
2026-01-11 19:44:03,22.1,33.1,15,40
2026-01-11 19:45:03,22.0,33.8,15,40
2026-01-11 19:46:02,21.8,32.5,15,40
2026-01-11 19:47:03,21.7,29.8,15,40
2026-01-11 19:48:03,21.5,28.2,15,40
2026-01-11 19:49:03,21.4,27.6,15,40
2026-01-11 19:50:03,21.4,27.1,15,40
2026-01-11 19:51:02,21.2,29.1,15,40
2026-01-11 19:52:03,21.2,32.2,15,40
2026-01-11 19:53:03,21.1,33.6,15,40
2026-01-11 19:54:03,21.0,31.9,15,40
2026-01-11 19:55:03,20.9,29.4,15,40
2026-01-11 19:56:02,20.8,27.8,15,40
2026-01-11 19:57:03,20.8,26.9,15,40
2026-01-11 19:58:03,20.6,26.5,15,40
2026-01-11 19:59:03,20.6,28.9,15,40
2026-01-11 20:00:03,20.6,32.0,15,40
2026-01-11 20:01:02,20.4,33.3,15,40
2026-01-11 20:02:03,20.3,32.1,15,40
2026-01-11 20:03:03,20.2,29.6,15,40
2026-01-11 20:04:03,20.2,27.8,15,40
2026-01-11 20:05:03,20.1,27.1,15,40
2026-01-11 20:06:03,19.9,26.6,15,40
2026-01-11 20:07:02,19.9,28.6,15,40
2026-01-11 20:08:03,19.9,32.0,15,40
2026-01-11 20:09:03,19.8,33.4,15,40
2026-01-11 20:10:03,19.8,31.4,15,40
2026-01-11 20:11:03,19.7,29.0,15,40
2026-01-11 20:12:02,19.6,27.7,15,40
2026-01-11 20:13:03,19.6,26.8,15,40
2026-01-11 20:14:03,19.5,26.5,15,40
2026-01-11 20:15:03,19.4,29.6,15,40
2026-01-11 20:16:03,19.4,32.3,15,40
2026-01-11 20:17:02,19.3,32.0,15,40
2026-01-11 20:18:03,19.2,29.6,15,40
2026-01-11 20:19:03,19.2,27.9,15,40
2026-01-11 20:20:03,19.1,27.1,15,40
2026-01-11 20:21:03,19.1,26.5,15,40
2026-01-11 20:22:02,19.1,27.9,15,40
2026-01-11 20:23:03,19.0,31.4,15,40
2026-01-11 20:24:03,18.9,32.9,15,40
2026-01-11 20:25:03,18.9,30.9,15,40
2026-01-11 20:26:03,18.9,28.7,15,40
2026-01-11 20:27:02,18.8,27.4,15,40
2026-01-11 20:28:03,18.8,26.8,15,40
2026-01-11 20:29:03,18.8,26.4,15,40
2026-01-11 20:30:03,18.7,30.1,15,40
2026-01-11 20:31:03,18.6,32.6,15,40
2026-01-11 20:32:02,18.6,31.1,15,40
2026-01-11 20:33:03,18.6,28.9,15,40
2026-01-11 20:34:03,18.5,27.6,15,40
2026-01-11 20:35:03,18.5,26.9,15,40
2026-01-11 20:36:03,18.4,26.4,15,40
2026-01-11 20:37:02,18.4,29.4,15,40
2026-01-11 20:38:03,18.4,32.4,15,40
2026-01-11 20:39:03,18.3,32.9,15,40
2026-01-11 20:40:03,18.3,30.5,15,40
2026-01-11 20:41:02,18.2,28.8,15,40
2026-01-11 20:42:02,18.2,27.8,15,40
2026-01-11 20:43:03,18.2,27.0,15,40
2026-01-11 20:44:03,18.1,26.9,15,40
2026-01-11 20:45:03,18.1,31.0,15,40
2026-01-11 20:46:02,18.1,31.9,15,40
2026-01-11 20:47:03,17.9,29.8,15,40
2026-01-11 20:48:03,17.9,28.2,15,40
2026-01-11 20:49:03,17.9,27.3,15,40
2026-01-11 20:50:03,17.9,26.8,15,40
2026-01-11 20:51:02,17.9,27.8,15,40
2026-01-11 20:52:03,17.8,31.4,15,40
2026-01-11 20:53:03,17.8,33.1,15,40
2026-01-11 20:54:03,17.8,31.3,15,40
2026-01-11 20:55:03,17.8,29.1,15,40
2026-01-11 20:56:02,17.8,27.8,15,40
2026-01-11 20:57:03,17.6,27.1,15,40
2026-01-11 20:58:03,17.6,26.7,15,40
2026-01-11 20:59:03,17.7,29.9,15,40
2026-01-11 21:00:03,17.6,32.2,15,40
2026-01-11 21:01:02,17.6,30.6,15,40
2026-01-11 21:02:03,17.5,28.7,15,40
2026-01-11 21:03:03,17.5,27.7,15,40
2026-01-11 21:04:03,17.5,27.1,15,40
2026-01-11 21:05:03,17.4,26.7,15,40
2026-01-11 21:06:02,17.4,30.6,15,40
2026-01-11 21:07:02,17.4,32.8,15,40
2026-01-11 21:08:03,17.4,31.0,15,40
2026-01-11 21:09:03,17.4,28.9,15,40
2026-01-11 21:10:03,17.3,27.7,15,40
2026-01-11 21:11:02,17.4,27.1,15,40
2026-01-11 21:12:03,17.3,26.6,15,40
2026-01-11 21:13:03,17.3,30.0,15,40
2026-01-11 21:14:03,17.2,32.5,15,40
2026-01-11 21:15:03,17.2,30.9,15,40
2026-01-11 21:16:02,17.2,28.8,15,40
2026-01-11 21:17:03,17.2,27.7,15,40
2026-01-11 21:18:03,17.2,27.1,15,40
2026-01-11 21:19:03,17.1,26.6,15,40
2026-01-11 21:20:03,17.1,29.9,15,40
2026-01-11 21:21:02,17.1,32.4,15,40
2026-01-11 21:22:03,17.1,30.8,15,40
2026-01-11 21:23:03,17.1,28.8,15,40
2026-01-11 21:24:03,17.1,27.7,15,40
2026-01-11 21:25:03,17.1,26.9,15,40
2026-01-11 21:26:02,16.9,26.5,15,40
2026-01-11 21:27:03,17.0,26.6,15,40
2026-01-11 21:28:03,16.9,29.0,15,15
2026-01-11 21:29:03,16.9,31.9,15,15
2026-01-11 21:30:03,16.9,32.4,15,15
2026-01-11 21:31:02,16.9,32.5,15,15
2026-01-11 21:32:03,16.9,32.2,15,15
2026-01-11 21:33:03,17.0,31.9,15,15
2026-01-11 21:34:03,16.9,31.6,15,15
2026-01-11 21:35:02,16.9,31.2,15,15
2026-01-11 21:36:03,16.9,30.9,15,15
2026-01-11 21:37:03,16.9,30.7,15,15
2026-01-11 21:38:03,16.9,30.3,15,15
2026-01-11 21:39:03,16.9,30.0,15,15
2026-01-11 21:40:02,16.9,29.8,15,15
2026-01-11 21:41:03,16.8,29.5,15,15
2026-01-11 21:42:03,16.8,29.2,15,15
2026-01-11 21:43:03,16.9,29.0,15,15
2026-01-11 21:44:03,16.9,28.8,15,15
2026-01-11 21:45:02,16.8,28.6,15,15
2026-01-11 21:46:03,16.8,28.4,15,15
2026-01-11 21:47:03,16.8,28.1,15,15
2026-01-11 21:48:03,16.8,27.9,15,15
2026-01-11 21:49:03,16.8,27.8,15,15
2026-01-11 21:50:02,16.7,27.6,15,15
2026-01-11 21:51:03,16.7,27.3,15,15
2026-01-11 21:52:03,16.6,27.1,15,15
2026-01-11 21:53:03,16.6,27.0,15,15
2026-01-11 21:54:03,16.7,26.8,15,15
2026-01-11 21:55:02,16.6,26.6,15,15
2026-01-11 21:56:03,16.6,26.4,15,15
2026-01-11 21:57:03,16.6,26.2,15,15
2026-01-11 21:58:03,16.6,26.1,15,15
2026-01-11 21:59:03,16.6,25.9,15,15
2026-01-11 22:00:02,16.6,25.8,15,15
2026-01-11 22:01:03,16.5,25.7,15,15
2026-01-11 22:02:03,16.6,25.6,15,15
2026-01-11 22:03:03,16.6,25.5,15,15
2026-01-11 22:04:03,16.6,25.3,15,15
2026-01-11 22:05:02,16.6,25.1,15,15
2026-01-11 22:06:03,16.6,25.0,15,15
2026-01-11 22:07:03,16.6,24.9,15,15
2026-01-11 22:08:03,16.6,24.8,15,15
2026-01-11 22:09:03,16.6,24.6,15,15
2026-01-11 22:10:02,16.6,24.4,15,15
2026-01-11 22:11:03,16.6,24.3,15,15
2026-01-11 22:12:03,16.6,24.1,15,15
2026-01-11 22:13:03,16.6,24.1,15,15
2026-01-11 22:14:03,16.5,23.9,15,15
2026-01-11 22:15:02,16.6,23.9,15,15
2026-01-11 22:16:03,16.5,23.7,15,15
2026-01-11 22:17:03,16.5,23.6,15,15
2026-01-11 22:18:03,16.5,23.5,15,15
2026-01-11 22:19:03,16.4,23.3,15,15
2026-01-11 22:20:02,16.4,23.2,15,15
2026-01-11 22:21:03,16.4,23.1,15,15
2026-01-11 22:22:03,16.4,23.0,15,15
2026-01-11 22:23:03,16.4,22.9,15,15
2026-01-11 22:24:03,16.4,22.8,15,15
2026-01-11 22:25:02,16.4,22.6,15,15
2026-01-11 22:26:02,16.3,22.6,15,15
2026-01-11 22:27:03,16.4,22.4,15,15
2026-01-11 22:28:03,16.4,22.4,15,15
2026-01-11 22:29:03,16.3,22.2,15,15
2026-01-11 22:30:02,16.3,22.1,15,15
2026-01-11 22:31:02,16.4,22.0,15,15
2026-01-11 22:32:03,16.2,21.9,15,15
2026-01-11 22:33:03,16.2,21.8,15,15
2026-01-11 22:34:03,16.2,21.8,15,15
2026-01-11 22:35:02,16.2,21.6,15,15
2026-01-11 22:36:03,16.2,21.6,15,15
2026-01-11 22:37:03,16.2,21.5,15,15
2026-01-11 22:38:03,16.2,21.4,15,15
2026-01-11 22:39:03,16.2,21.3,15,15
2026-01-11 22:40:02,16.2,21.2,15,15
2026-01-11 22:41:03,16.2,21.1,15,15
2026-01-11 22:42:03,16.2,21.1,15,15
2026-01-11 22:43:03,16.1,21.0,15,15
2026-01-11 22:44:03,16.2,20.9,15,15
2026-01-11 22:45:02,16.2,20.8,15,15
2026-01-11 22:46:03,16.1,20.8,15,15
